timestamp_iso,access_key,raw_data,source,device_id,image_saved
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 19:29:18
52251055296152000175650020000682421401179330,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650020000682421401179330|2|1|1|F8A72C66E5BE57B48DD7151E7345592EC77BDC9B,upload,2025-10-21 20:11:28
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 20:11:40
52251055296152000175650020000682421401179330,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650020000682421401179330|2|1|1|F8A72C66E5BE57B48DD7151E7345592EC77BDC9B,upload,2025-10-21 21:53:08
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 21:53:14
52251055296152000175650020000682421401179330,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650020000682421401179330|2|1|1|F8A72C66E5BE57B48DD7151E7345592EC77BDC9B,upload,2025-10-21 22:20:51
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 22:21:37
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 22:22:11
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 22:24:02
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 22:27:03
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 22:27:06
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,upload,2025-10-21 22:27:09
